Model,Accent,Sample Index,Reference,Base Hypothesis,Prompted Hypothesis,Base WER (%),Prompted WER (%),Base SER (%),Prompted SER (%),SER Reduction (Δ%),Base DER (%),Prompted DER (%),Base IER (%),Prompted IER (%)
Whisper tiny,Singaporean,1,One could sense the struggle going on within.,One could sense the struggle going on within.,One could sense the struggle going on within.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,2,And a long time afterwards she brought her another supply.,"And a long time afterwards, she bought her a nade surprise.","And the long time afterwards, she bought her a native supply.",40.0,40.0,30.0,30.0,0.0,0.0,0.0,10.0,10.0
Whisper tiny,Singaporean,3,The project also would preserve greenspace throughout the city and create new parks.,The project also would preserve green space throughout the city and create new parks.,The project also would preserve pre-inspace throughout the city and create new parks.,15.38,7.69,7.69,7.69,0.0,0.0,0.0,7.69,0.0
Whisper tiny,Singaporean,4,"However, Pakistan needed to apply to join.","However, Pakistan needed to apply to join.",However Pakistan needed to apply to join,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,5,One wounded man was killed by a shell while the corporal was carrying him.,"One wounded man was killed by a shell, what a corporal was carrying him.",The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,14.29,3050.0,14.29,92.86,-550.0,0.0,0.0,0.0,2957.14
Whisper tiny,Singaporean,6,"There is still the use of the horseshoe arch, at least decoratively.","There is still a views of the horseshoe arc, at least decoratively.",There is still the use of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course of the course,25.0,3508.33,25.0,41.67,-66.67,0.0,0.0,0.0,3466.67
Whisper tiny,Singaporean,7,She mostly played the leading actor's love interest in all these films.,She mostly played a leading act as a love interest in always films.,She mostly played a leading actress love interest in all his films.,50.0,25.0,25.0,25.0,0.0,8.33,0.0,16.67,0.0
Whisper tiny,Singaporean,8,"We know what a child can bring, no matter the circumstances.",We know what a child can bring no matter the circumstances.,We know what a child can bring the mother to the,0.0,36.36,0.0,18.18,0.0,0.0,9.09,0.0,9.09
Whisper tiny,Singaporean,9,Baldwin himself designed the two storey wood frame house.,Bullet himself designed to do so he would frame house.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,66.67,4755.56,55.56,100.0,-80.0,0.0,0.0,11.11,4655.56
Whisper tiny,Singaporean,10,The family owned some farmland as well as a shop in the city.,The family owns some farmland as well as a shop in the city.,The family owns some farmland has well as a shop in the city.,7.69,15.38,7.69,15.38,-100.0,0.0,0.0,0.0,0.0
